variable,permutation,dropout_loss,label
y,32,2326.691971466001,LightGBM
z,32,584.7441336519734,LightGBM
_baseline_,32,5241.906468456699,LightGBM
_full_model_,33,29.145036628117282,LightGBM
carat,33,2244.3279890872195,LightGBM
cut,33,41.68023251460977,LightGBM
color,33,794.6892271234402,LightGBM
clarity,33,1177.141862244605,LightGBM
depth,33,53.237974143532824,LightGBM
table,33,26.57194368265118,LightGBM
x,33,142.09935566815523,LightGBM
y,33,2186.482960892195,LightGBM
z,33,587.872286313611,LightGBM
_baseline_,33,5032.29769731206,LightGBM
_full_model_,34,-0.9111378039334568,LightGBM
carat,34,2368.978755237871,LightGBM
cut,34,19.214688690093908,LightGBM
color,34,766.2081755223863,LightGBM
clarity,34,1079.0040888945068,LightGBM
depth,34,26.975233213791853,LightGBM
table,34,5.505874209816966,LightGBM
x,34,100.47801786182958,LightGBM
y,34,2266.61592753859,LightGBM
z,34,571.0957729843911,LightGBM
_baseline_,34,4817.610287572186,LightGBM
_full_model_,35,66.05614818347829,LightGBM
carat,35,2429.912385952139,LightGBM
cut,35,95.51641014422296,LightGBM
color,35,778.7304921915089,LightGBM
clarity,35,1233.7094235545933,LightGBM
depth,35,79.85409063657221,LightGBM
table,35,67.35226837009532,LightGBM
x,35,190.01236229189908,LightGBM
y,35,2461.642762023775,LightGBM
z,35,624.7887352691597,LightGBM
_baseline_,35,5217.194844272296,LightGBM
_full_model_,36,-25.850862238757827,LightGBM
carat,36,2111.8157131001217,LightGBM
cut,36,-6.306914406743658,LightGBM
color,36,675.1099504446125,LightGBM
clarity,36,1035.9048122721233,LightGBM
depth,36,-31.139529202388644,LightGBM
table,36,-26.257008552259776,LightGBM
x,36,102.72609436799348,LightGBM
y,36,2142.907076036811,LightGBM
z,36,486.95110823081643,LightGBM
_baseline_,36,4886.890346536022,LightGBM
_full_model_,37,20.923994807968597,LightGBM
carat,37,2225.3565744134225,LightGBM
cut,37,42.8257811060422,LightGBM
color,37,714.9919026743509,LightGBM
clarity,37,1013.071962371139,LightGBM
depth,37,29.190744629967867,LightGBM
table,37,14.605487502277128,LightGBM
